Cycle,Condition,Z_stack,Channel,Marker,Path,Path_corrected
Concanavadin A,Fw1,6,CH2,Concanavadin A,y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_Concanavadin A_40X8_27Fw1\1_00001_Z006_CH2.tif,y:\coskun-lab\Thomas\Spatial signaling pathway\data\processed\Fw1_6_Concanavadin A_Concanavadin A.tiff
Concanavadin A,Fw2,1,CH1,DAPI,y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_Concanavadin A_40X8_27Fw2\1_00001_Z001_CH1.tif,y:\coskun-lab\Thomas\Spatial signaling pathway\data\processed\Fw2_1_Concanavadin A_DAPI.tiff
Concanavadin A,Fw2,1,CH2,Concanavadin A,y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_Concanavadin A_40X8_27Fw2\1_00001_Z001_CH2.tif,y:\coskun-lab\Thomas\Spatial signaling pathway\data\processed\Fw2_1_Concanavadin A_Concanavadin A.tiff
Concanavadin A,Fw2,2,CH1,DAPI,y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_Concanavadin A_40X8_27Fw2\1_00001_Z002_CH1.tif,y:\coskun-lab\Thomas\Spatial signaling pathway\data\processed\Fw2_2_Concanavadin A_DAPI.tiff
Concanavadin A,Fw2,2,CH2,Concanavadin A,y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_Concanavadin A_40X8_27Fw2\1_00001_Z002_CH2.tif,y:\coskun-lab\Thomas\Spatial signaling pathway\data\processed\Fw2_2_Concanavadin A_Concanavadin A.tiff
Concanavadin A,Fw2,3,CH1,DAPI,y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_Concanavadin A_40X8_27Fw2\1_00001_Z003_CH1.tif,y:\coskun-lab\Thomas\Spatial signaling pathway\data\processed\Fw2_3_Concanavadin A_DAPI.tiff
Concanavadin A,Fw2,3,CH2,Concanavadin A,y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_Concanavadin A_40X8_27Fw2\1_00001_Z003_CH2.tif,y:\coskun-lab\Thomas\Spatial signaling pathway\data\processed\Fw2_3_Concanavadin A_Concanavadin A.tiff
Concanavadin A,Fw2,4,CH1,DAPI,y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_Concanavadin A_40X8_27Fw2\1_00001_Z004_CH1.tif,y:\coskun-lab\Thomas\Spatial signaling pathway\data\processed\Fw2_4_Concanavadin A_DAPI.tiff
Concanavadin A,Fw2,4,CH2,Concanavadin A,y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_Concanavadin A_40X8_27Fw2\1_00001_Z004_CH2.tif,y:\coskun-lab\Thomas\Spatial signaling pathway\data\processed\Fw2_4_Concanavadin A_Concanavadin A.tiff
Concanavadin A,Fw3,1,CH1,DAPI,y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_Concanavadin A_40X8_27Fw3\1_00001_Z001_CH1.tif,y:\coskun-lab\Thomas\Spatial signaling pathway\data\processed\Fw3_1_Concanavadin A_DAPI.tiff
Concanavadin A,Fw3,1,CH2,Concanavadin A,y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_Concanavadin A_40X8_27Fw3\1_00001_Z001_CH2.tif,y:\coskun-lab\Thomas\Spatial signaling pathway\data\processed\Fw3_1_Concanavadin A_Concanavadin A.tiff
Concanavadin A,Fw3,2,CH1,DAPI,y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_Concanavadin A_40X8_27Fw3\1_00001_Z002_CH1.tif,y:\coskun-lab\Thomas\Spatial signaling pathway\data\processed\Fw3_2_Concanavadin A_DAPI.tiff
Concanavadin A,Fw3,2,CH2,Concanavadin A,y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_Concanavadin A_40X8_27Fw3\1_00001_Z002_CH2.tif,y:\coskun-lab\Thomas\Spatial signaling pathway\data\processed\Fw3_2_Concanavadin A_Concanavadin A.tiff
Concanavadin A,Fw3,3,CH1,DAPI,y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_Concanavadin A_40X8_27Fw3\1_00001_Z003_CH1.tif,y:\coskun-lab\Thomas\Spatial signaling pathway\data\processed\Fw3_3_Concanavadin A_DAPI.tiff
Concanavadin A,Fw3,3,CH2,Concanavadin A,y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_Concanavadin A_40X8_27Fw3\1_00001_Z003_CH2.tif,y:\coskun-lab\Thomas\Spatial signaling pathway\data\processed\Fw3_3_Concanavadin A_Concanavadin A.tiff
Concanavadin A,Fw3,4,CH1,DAPI,y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_Concanavadin A_40X8_27Fw3\1_00001_Z004_CH1.tif,y:\coskun-lab\Thomas\Spatial signaling pathway\data\processed\Fw3_4_Concanavadin A_DAPI.tiff
Concanavadin A,Fw3,4,CH2,Concanavadin A,y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_Concanavadin A_40X8_27Fw3\1_00001_Z004_CH2.tif,y:\coskun-lab\Thomas\Spatial signaling pathway\data\processed\Fw3_4_Concanavadin A_Concanavadin A.tiff
Concanavadin A,Fw3,5,CH1,DAPI,y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_Concanavadin A_40X8_27Fw3\1_00001_Z005_CH1.tif,y:\coskun-lab\Thomas\Spatial signaling pathway\data\processed\Fw3_5_Concanavadin A_DAPI.tiff
Concanavadin A,Fw3,5,CH2,Concanavadin A,y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_Concanavadin A_40X8_27Fw3\1_00001_Z005_CH2.tif,y:\coskun-lab\Thomas\Spatial signaling pathway\data\processed\Fw3_5_Concanavadin A_Concanavadin A.tiff
Concanavadin A,Fw3,6,CH1,DAPI,y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_Concanavadin A_40X8_27Fw3\1_00001_Z006_CH1.tif,y:\coskun-lab\Thomas\Spatial signaling pathway\data\processed\Fw3_6_Concanavadin A_DAPI.tiff
Concanavadin A,Fw3,6,CH2,Concanavadin A,y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_Concanavadin A_40X8_27Fw3\1_00001_Z006_CH2.tif,y:\coskun-lab\Thomas\Spatial signaling pathway\data\processed\Fw3_6_Concanavadin A_Concanavadin A.tiff
CycD1,Fw1,1,CH1,DAPI,y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_CycD1_APC_40X8_27Fw1\1_00001_Z001_CH1.tif,y:\coskun-lab\Thomas\Spatial signaling pathway\data\processed\Fw1_1_CycD1_DAPI.tiff
CycD1,Fw1,1,CH3,APC,y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_CycD1_APC_40X8_27Fw1\1_00001_Z001_CH3.tif,y:\coskun-lab\Thomas\Spatial signaling pathway\data\processed\Fw1_1_CycD1_APC.tiff
CycD1,Fw1,1,CH4,Cyclin D1,y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_CycD1_APC_40X8_27Fw1\1_00001_Z001_CH4.tif,y:\coskun-lab\Thomas\Spatial signaling pathway\data\processed\Fw1_1_CycD1_Cyclin D1.tiff
CycD1,Fw1,2,CH1,DAPI,y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_CycD1_APC_40X8_27Fw1\1_00001_Z002_CH1.tif,y:\coskun-lab\Thomas\Spatial signaling pathway\data\processed\Fw1_2_CycD1_DAPI.tiff
CycD1,Fw1,2,CH3,APC,y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_CycD1_APC_40X8_27Fw1\1_00001_Z002_CH3.tif,y:\coskun-lab\Thomas\Spatial signaling pathway\data\processed\Fw1_2_CycD1_APC.tiff
CycD1,Fw1,2,CH4,Cyclin D1,y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_CycD1_APC_40X8_27Fw1\1_00001_Z002_CH4.tif,y:\coskun-lab\Thomas\Spatial signaling pathway\data\processed\Fw1_2_CycD1_Cyclin D1.tiff
CycD1,Fw1,3,CH1,DAPI,y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_CycD1_APC_40X8_27Fw1\1_00001_Z003_CH1.tif,y:\coskun-lab\Thomas\Spatial signaling pathway\data\processed\Fw1_3_CycD1_DAPI.tiff
CycD1,Fw1,3,CH3,APC,y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_CycD1_APC_40X8_27Fw1\1_00001_Z003_CH3.tif,y:\coskun-lab\Thomas\Spatial signaling pathway\data\processed\Fw1_3_CycD1_APC.tiff
CycD1,Fw1,3,CH4,Cyclin D1,y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_CycD1_APC_40X8_27Fw1\1_00001_Z003_CH4.tif,y:\coskun-lab\Thomas\Spatial signaling pathway\data\processed\Fw1_3_CycD1_Cyclin D1.tiff
CycD1,Fw1,4,CH1,DAPI,y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_CycD1_APC_40X8_27Fw1\1_00001_Z004_CH1.tif,y:\coskun-lab\Thomas\Spatial signaling pathway\data\processed\Fw1_4_CycD1_DAPI.tiff
CycD1,Fw1,4,CH3,APC,y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_CycD1_APC_40X8_27Fw1\1_00001_Z004_CH3.tif,y:\coskun-lab\Thomas\Spatial signaling pathway\data\processed\Fw1_4_CycD1_APC.tiff
CycD1,Fw1,4,CH4,Cyclin D1,y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_CycD1_APC_40X8_27Fw1\1_00001_Z004_CH4.tif,y:\coskun-lab\Thomas\Spatial signaling pathway\data\processed\Fw1_4_CycD1_Cyclin D1.tiff
CycD1,Fw2,1,CH1,DAPI,y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_CycD1_APC_40X8_27Fw2\1_00001_Z001_CH1.tif,y:\coskun-lab\Thomas\Spatial signaling pathway\data\processed\Fw2_1_CycD1_DAPI.tiff
CycD1,Fw2,1,CH3,APC,y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_CycD1_APC_40X8_27Fw2\1_00001_Z001_CH3.tif,y:\coskun-lab\Thomas\Spatial signaling pathway\data\processed\Fw2_1_CycD1_APC.tiff
CycD1,Fw2,1,CH4,Cyclin D1,y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_CycD1_APC_40X8_27Fw2\1_00001_Z001_CH4.tif,y:\coskun-lab\Thomas\Spatial signaling pathway\data\processed\Fw2_1_CycD1_Cyclin D1.tiff
CycD1,Fw2,2,CH1,DAPI,y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_CycD1_APC_40X8_27Fw2\1_00001_Z002_CH1.tif,y:\coskun-lab\Thomas\Spatial signaling pathway\data\processed\Fw2_2_CycD1_DAPI.tiff
CycD1,Fw2,2,CH3,APC,y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_CycD1_APC_40X8_27Fw2\1_00001_Z002_CH3.tif,y:\coskun-lab\Thomas\Spatial signaling pathway\data\processed\Fw2_2_CycD1_APC.tiff
CycD1,Fw2,2,CH4,Cyclin D1,y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_CycD1_APC_40X8_27Fw2\1_00001_Z002_CH4.tif,y:\coskun-lab\Thomas\Spatial signaling pathway\data\processed\Fw2_2_CycD1_Cyclin D1.tiff
CycD1,Fw2,3,CH1,DAPI,y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_CycD1_APC_40X8_27Fw2\1_00001_Z003_CH1.tif,y:\coskun-lab\Thomas\Spatial signaling pathway\data\processed\Fw2_3_CycD1_DAPI.tiff
CycD1,Fw2,3,CH3,APC,y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_CycD1_APC_40X8_27Fw2\1_00001_Z003_CH3.tif,y:\coskun-lab\Thomas\Spatial signaling pathway\data\processed\Fw2_3_CycD1_APC.tiff
CycD1,Fw2,3,CH4,Cyclin D1,y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_CycD1_APC_40X8_27Fw2\1_00001_Z003_CH4.tif,y:\coskun-lab\Thomas\Spatial signaling pathway\data\processed\Fw2_3_CycD1_Cyclin D1.tiff
CycD1,Fw2,4,CH1,DAPI,y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_CycD1_APC_40X8_27Fw2\1_00001_Z004_CH1.tif,y:\coskun-lab\Thomas\Spatial signaling pathway\data\processed\Fw2_4_CycD1_DAPI.tiff
CycD1,Fw2,4,CH3,APC,y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_CycD1_APC_40X8_27Fw2\1_00001_Z004_CH3.tif,y:\coskun-lab\Thomas\Spatial signaling pathway\data\processed\Fw2_4_CycD1_APC.tiff
CycD1,Fw2,4,CH4,Cyclin D1,y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_CycD1_APC_40X8_27Fw2\1_00001_Z004_CH4.tif,y:\coskun-lab\Thomas\Spatial signaling pathway\data\processed\Fw2_4_CycD1_Cyclin D1.tiff
CycD1,Fw2,5,CH1,DAPI,y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_CycD1_APC_40X8_27Fw2\1_00001_Z005_CH1.tif,y:\coskun-lab\Thomas\Spatial signaling pathway\data\processed\Fw2_5_CycD1_DAPI.tiff
CycD1,Fw2,5,CH3,APC,y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_CycD1_APC_40X8_27Fw2\1_00001_Z005_CH3.tif,y:\coskun-lab\Thomas\Spatial signaling pathway\data\processed\Fw2_5_CycD1_APC.tiff
CycD1,Fw2,5,CH4,Cyclin D1,y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_CycD1_APC_40X8_27Fw2\1_00001_Z005_CH4.tif,y:\coskun-lab\Thomas\Spatial signaling pathway\data\processed\Fw2_5_CycD1_Cyclin D1.tiff
CycD1,Fw2,6,CH1,DAPI,y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_CycD1_APC_40X8_27Fw2\1_00001_Z006_CH1.tif,y:\coskun-lab\Thomas\Spatial signaling pathway\data\processed\Fw2_6_CycD1_DAPI.tiff
CycD1,Fw2,6,CH3,APC,y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_CycD1_APC_40X8_27Fw2\1_00001_Z006_CH3.tif,y:\coskun-lab\Thomas\Spatial signaling pathway\data\processed\Fw2_6_CycD1_APC.tiff
CycD1,Fw2,6,CH4,Cyclin D1,y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_CycD1_APC_40X8_27Fw2\1_00001_Z006_CH4.tif,y:\coskun-lab\Thomas\Spatial signaling pathway\data\processed\Fw2_6_CycD1_Cyclin D1.tiff
CycD1,Fw3,1,CH1,DAPI,y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_CycD1_APC_40X8_27Fw3\1_00001_Z001_CH1.tif,y:\coskun-lab\Thomas\Spatial signaling pathway\data\processed\Fw3_1_CycD1_DAPI.tiff
CycD1,Fw3,1,CH3,APC,y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_CycD1_APC_40X8_27Fw3\1_00001_Z001_CH3.tif,y:\coskun-lab\Thomas\Spatial signaling pathway\data\processed\Fw3_1_CycD1_APC.tiff
CycD1,Fw3,1,CH4,Cyclin D1,y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_CycD1_APC_40X8_27Fw3\1_00001_Z001_CH4.tif,y:\coskun-lab\Thomas\Spatial signaling pathway\data\processed\Fw3_1_CycD1_Cyclin D1.tiff
CycD1,Fw3,2,CH1,DAPI,y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_CycD1_APC_40X8_27Fw3\1_00001_Z002_CH1.tif,y:\coskun-lab\Thomas\Spatial signaling pathway\data\processed\Fw3_2_CycD1_DAPI.tiff
CycD1,Fw3,2,CH3,APC,y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_CycD1_APC_40X8_27Fw3\1_00001_Z002_CH3.tif,y:\coskun-lab\Thomas\Spatial signaling pathway\data\processed\Fw3_2_CycD1_APC.tiff
CycD1,Fw3,2,CH4,Cyclin D1,y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_CycD1_APC_40X8_27Fw3\1_00001_Z002_CH4.tif,y:\coskun-lab\Thomas\Spatial signaling pathway\data\processed\Fw3_2_CycD1_Cyclin D1.tiff
CycD1,Fw3,3,CH1,DAPI,y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_CycD1_APC_40X8_27Fw3\1_00001_Z003_CH1.tif,y:\coskun-lab\Thomas\Spatial signaling pathway\data\processed\Fw3_3_CycD1_DAPI.tiff
CycD1,Fw3,3,CH3,APC,y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_CycD1_APC_40X8_27Fw3\1_00001_Z003_CH3.tif,y:\coskun-lab\Thomas\Spatial signaling pathway\data\processed\Fw3_3_CycD1_APC.tiff
CycD1,Fw3,3,CH4,Cyclin D1,y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_CycD1_APC_40X8_27Fw3\1_00001_Z003_CH4.tif,y:\coskun-lab\Thomas\Spatial signaling pathway\data\processed\Fw3_3_CycD1_Cyclin D1.tiff
CycD1,Fw3,4,CH1,DAPI,y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_CycD1_APC_40X8_27Fw3\1_00001_Z004_CH1.tif,y:\coskun-lab\Thomas\Spatial signaling pathway\data\processed\Fw3_4_CycD1_DAPI.tiff
CycD1,Fw3,4,CH3,APC,y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_CycD1_APC_40X8_27Fw3\1_00001_Z004_CH3.tif,y:\coskun-lab\Thomas\Spatial signaling pathway\data\processed\Fw3_4_CycD1_APC.tiff
CycD1,Fw3,4,CH4,Cyclin D1,y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_CycD1_APC_40X8_27Fw3\1_00001_Z004_CH4.tif,y:\coskun-lab\Thomas\Spatial signaling pathway\data\processed\Fw3_4_CycD1_Cyclin D1.tiff
CycD1,Fw3,5,CH1,DAPI,y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_CycD1_APC_40X8_27Fw3\1_00001_Z005_CH1.tif,y:\coskun-lab\Thomas\Spatial signaling pathway\data\processed\Fw3_5_CycD1_DAPI.tiff
CycD1,Fw3,5,CH3,APC,y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_CycD1_APC_40X8_27Fw3\1_00001_Z005_CH3.tif,y:\coskun-lab\Thomas\Spatial signaling pathway\data\processed\Fw3_5_CycD1_APC.tiff
CycD1,Fw3,5,CH4,Cyclin D1,y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_CycD1_APC_40X8_27Fw3\1_00001_Z005_CH4.tif,y:\coskun-lab\Thomas\Spatial signaling pathway\data\processed\Fw3_5_CycD1_Cyclin D1.tiff
CycD1,Fw3,6,CH1,DAPI,y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_CycD1_APC_40X8_27Fw3\1_00001_Z006_CH1.tif,y:\coskun-lab\Thomas\Spatial signaling pathway\data\processed\Fw3_6_CycD1_DAPI.tiff
CycD1,Fw3,6,CH3,APC,y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_CycD1_APC_40X8_27Fw3\1_00001_Z006_CH3.tif,y:\coskun-lab\Thomas\Spatial signaling pathway\data\processed\Fw3_6_CycD1_APC.tiff
