Cycle,Condition,Z_stack,Channel,Marker,Path,Path_corrected
CycD1,Fw3,6,CH4,Cyclin D1,y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_CycD1_APC_40X8_27Fw3\1_00001_Z006_CH4.tif,y:\coskun-lab\Thomas\Spatial signaling pathway\data\processed\Fw3_6_CycD1_Cyclin D1.tiff
CycE,Fw1,1,CH1,DAPI,y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_CycE_WNT1_EMMPRN_40X8_26Fw1\1_00001_Z001_CH1.tif,y:\coskun-lab\Thomas\Spatial signaling pathway\data\processed\Fw1_1_CycE_DAPI.tiff
CycE,Fw1,1,CH2,Cyclin E,y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_CycE_WNT1_EMMPRN_40X8_26Fw1\1_00001_Z001_CH2.tif,y:\coskun-lab\Thomas\Spatial signaling pathway\data\processed\Fw1_1_CycE_Cyclin E.tiff
CycE,Fw1,1,CH3,EMMPRIN,y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_CycE_WNT1_EMMPRN_40X8_26Fw1\1_00001_Z001_CH3.tif,y:\coskun-lab\Thomas\Spatial signaling pathway\data\processed\Fw1_1_CycE_EMMPRIN.tiff
CycE,Fw1,1,CH4,WNT-1,y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_CycE_WNT1_EMMPRN_40X8_26Fw1\1_00001_Z001_CH4.tif,y:\coskun-lab\Thomas\Spatial signaling pathway\data\processed\Fw1_1_CycE_WNT-1.tiff
CycE,Fw1,2,CH1,DAPI,y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_CycE_WNT1_EMMPRN_40X8_26Fw1\1_00001_Z002_CH1.tif,y:\coskun-lab\Thomas\Spatial signaling pathway\data\processed\Fw1_2_CycE_DAPI.tiff
CycE,Fw1,2,CH2,Cyclin E,y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_CycE_WNT1_EMMPRN_40X8_26Fw1\1_00001_Z002_CH2.tif,y:\coskun-lab\Thomas\Spatial signaling pathway\data\processed\Fw1_2_CycE_Cyclin E.tiff
CycE,Fw1,2,CH3,EMMPRIN,y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_CycE_WNT1_EMMPRN_40X8_26Fw1\1_00001_Z002_CH3.tif,y:\coskun-lab\Thomas\Spatial signaling pathway\data\processed\Fw1_2_CycE_EMMPRIN.tiff
CycE,Fw1,2,CH4,WNT-1,y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_CycE_WNT1_EMMPRN_40X8_26Fw1\1_00001_Z002_CH4.tif,y:\coskun-lab\Thomas\Spatial signaling pathway\data\processed\Fw1_2_CycE_WNT-1.tiff
CycE,Fw1,3,CH1,DAPI,y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_CycE_WNT1_EMMPRN_40X8_26Fw1\1_00001_Z003_CH1.tif,y:\coskun-lab\Thomas\Spatial signaling pathway\data\processed\Fw1_3_CycE_DAPI.tiff
CycE,Fw1,3,CH2,Cyclin E,y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_CycE_WNT1_EMMPRN_40X8_26Fw1\1_00001_Z003_CH2.tif,y:\coskun-lab\Thomas\Spatial signaling pathway\data\processed\Fw1_3_CycE_Cyclin E.tiff
CycE,Fw1,3,CH3,EMMPRIN,y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_CycE_WNT1_EMMPRN_40X8_26Fw1\1_00001_Z003_CH3.tif,y:\coskun-lab\Thomas\Spatial signaling pathway\data\processed\Fw1_3_CycE_EMMPRIN.tiff
CycE,Fw1,3,CH4,WNT-1,y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_CycE_WNT1_EMMPRN_40X8_26Fw1\1_00001_Z003_CH4.tif,y:\coskun-lab\Thomas\Spatial signaling pathway\data\processed\Fw1_3_CycE_WNT-1.tiff
CycE,Fw1,4,CH1,DAPI,y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_CycE_WNT1_EMMPRN_40X8_26Fw1\1_00001_Z004_CH1.tif,y:\coskun-lab\Thomas\Spatial signaling pathway\data\processed\Fw1_4_CycE_DAPI.tiff
CycE,Fw1,4,CH2,Cyclin E,y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_CycE_WNT1_EMMPRN_40X8_26Fw1\1_00001_Z004_CH2.tif,y:\coskun-lab\Thomas\Spatial signaling pathway\data\processed\Fw1_4_CycE_Cyclin E.tiff
CycE,Fw1,4,CH3,EMMPRIN,y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_CycE_WNT1_EMMPRN_40X8_26Fw1\1_00001_Z004_CH3.tif,y:\coskun-lab\Thomas\Spatial signaling pathway\data\processed\Fw1_4_CycE_EMMPRIN.tiff
CycE,Fw1,4,CH4,WNT-1,y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_CycE_WNT1_EMMPRN_40X8_26Fw1\1_00001_Z004_CH4.tif,y:\coskun-lab\Thomas\Spatial signaling pathway\data\processed\Fw1_4_CycE_WNT-1.tiff
CycE,Fw2,1,CH1,DAPI,y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_CycE_WNT1_EMMPRN_40X8_26Fw2\1_00001_Z001_CH1.tif,y:\coskun-lab\Thomas\Spatial signaling pathway\data\processed\Fw2_1_CycE_DAPI.tiff
CycE,Fw2,1,CH2,Cyclin E,y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_CycE_WNT1_EMMPRN_40X8_26Fw2\1_00001_Z001_CH2.tif,y:\coskun-lab\Thomas\Spatial signaling pathway\data\processed\Fw2_1_CycE_Cyclin E.tiff
CycE,Fw2,1,CH3,EMMPRIN,y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_CycE_WNT1_EMMPRN_40X8_26Fw2\1_00001_Z001_CH3.tif,y:\coskun-lab\Thomas\Spatial signaling pathway\data\processed\Fw2_1_CycE_EMMPRIN.tiff
CycE,Fw2,1,CH4,WNT-1,y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_CycE_WNT1_EMMPRN_40X8_26Fw2\1_00001_Z001_CH4.tif,y:\coskun-lab\Thomas\Spatial signaling pathway\data\processed\Fw2_1_CycE_WNT-1.tiff
CycE,Fw2,2,CH1,DAPI,y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_CycE_WNT1_EMMPRN_40X8_26Fw2\1_00001_Z002_CH1.tif,y:\coskun-lab\Thomas\Spatial signaling pathway\data\processed\Fw2_2_CycE_DAPI.tiff
CycE,Fw2,2,CH2,Cyclin E,y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_CycE_WNT1_EMMPRN_40X8_26Fw2\1_00001_Z002_CH2.tif,y:\coskun-lab\Thomas\Spatial signaling pathway\data\processed\Fw2_2_CycE_Cyclin E.tiff
CycE,Fw2,2,CH3,EMMPRIN,y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_CycE_WNT1_EMMPRN_40X8_26Fw2\1_00001_Z002_CH3.tif,y:\coskun-lab\Thomas\Spatial signaling pathway\data\processed\Fw2_2_CycE_EMMPRIN.tiff
CycE,Fw2,2,CH4,WNT-1,y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_CycE_WNT1_EMMPRN_40X8_26Fw2\1_00001_Z002_CH4.tif,y:\coskun-lab\Thomas\Spatial signaling pathway\data\processed\Fw2_2_CycE_WNT-1.tiff
CycE,Fw2,3,CH1,DAPI,y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_CycE_WNT1_EMMPRN_40X8_26Fw2\1_00001_Z003_CH1.tif,y:\coskun-lab\Thomas\Spatial signaling pathway\data\processed\Fw2_3_CycE_DAPI.tiff
CycE,Fw2,3,CH2,Cyclin E,y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_CycE_WNT1_EMMPRN_40X8_26Fw2\1_00001_Z003_CH2.tif,y:\coskun-lab\Thomas\Spatial signaling pathway\data\processed\Fw2_3_CycE_Cyclin E.tiff
CycE,Fw2,3,CH3,EMMPRIN,y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_CycE_WNT1_EMMPRN_40X8_26Fw2\1_00001_Z003_CH3.tif,y:\coskun-lab\Thomas\Spatial signaling pathway\data\processed\Fw2_3_CycE_EMMPRIN.tiff
CycE,Fw2,3,CH4,WNT-1,y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_CycE_WNT1_EMMPRN_40X8_26Fw2\1_00001_Z003_CH4.tif,y:\coskun-lab\Thomas\Spatial signaling pathway\data\processed\Fw2_3_CycE_WNT-1.tiff
CycE,Fw2,4,CH1,DAPI,y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_CycE_WNT1_EMMPRN_40X8_26Fw2\1_00001_Z004_CH1.tif,y:\coskun-lab\Thomas\Spatial signaling pathway\data\processed\Fw2_4_CycE_DAPI.tiff
CycE,Fw2,4,CH2,Cyclin E,y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_CycE_WNT1_EMMPRN_40X8_26Fw2\1_00001_Z004_CH2.tif,y:\coskun-lab\Thomas\Spatial signaling pathway\data\processed\Fw2_4_CycE_Cyclin E.tiff
CycE,Fw2,4,CH3,EMMPRIN,y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_CycE_WNT1_EMMPRN_40X8_26Fw2\1_00001_Z004_CH3.tif,y:\coskun-lab\Thomas\Spatial signaling pathway\data\processed\Fw2_4_CycE_EMMPRIN.tiff
CycE,Fw2,4,CH4,WNT-1,y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_CycE_WNT1_EMMPRN_40X8_26Fw2\1_00001_Z004_CH4.tif,y:\coskun-lab\Thomas\Spatial signaling pathway\data\processed\Fw2_4_CycE_WNT-1.tiff
CycE,Fw3,1,CH1,DAPI,y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_CycE_WNT1_EMMPRN_40X8_26Fw3\1_00001_Z001_CH1.tif,y:\coskun-lab\Thomas\Spatial signaling pathway\data\processed\Fw3_1_CycE_DAPI.tiff
CycE,Fw3,1,CH2,Cyclin E,y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_CycE_WNT1_EMMPRN_40X8_26Fw3\1_00001_Z001_CH2.tif,y:\coskun-lab\Thomas\Spatial signaling pathway\data\processed\Fw3_1_CycE_Cyclin E.tiff
CycE,Fw3,1,CH3,EMMPRIN,y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_CycE_WNT1_EMMPRN_40X8_26Fw3\1_00001_Z001_CH3.tif,y:\coskun-lab\Thomas\Spatial signaling pathway\data\processed\Fw3_1_CycE_EMMPRIN.tiff
CycE,Fw3,1,CH4,WNT-1,y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_CycE_WNT1_EMMPRN_40X8_26Fw3\1_00001_Z001_CH4.tif,y:\coskun-lab\Thomas\Spatial signaling pathway\data\processed\Fw3_1_CycE_WNT-1.tiff
CycE,Fw3,2,CH1,DAPI,y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_CycE_WNT1_EMMPRN_40X8_26Fw3\1_00001_Z002_CH1.tif,y:\coskun-lab\Thomas\Spatial signaling pathway\data\processed\Fw3_2_CycE_DAPI.tiff
CycE,Fw3,2,CH2,Cyclin E,y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_CycE_WNT1_EMMPRN_40X8_26Fw3\1_00001_Z002_CH2.tif,y:\coskun-lab\Thomas\Spatial signaling pathway\data\processed\Fw3_2_CycE_Cyclin E.tiff
CycE,Fw3,2,CH3,EMMPRIN,y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_CycE_WNT1_EMMPRN_40X8_26Fw3\1_00001_Z002_CH3.tif,y:\coskun-lab\Thomas\Spatial signaling pathway\data\processed\Fw3_2_CycE_EMMPRIN.tiff
CycE,Fw3,2,CH4,WNT-1,y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_CycE_WNT1_EMMPRN_40X8_26Fw3\1_00001_Z002_CH4.tif,y:\coskun-lab\Thomas\Spatial signaling pathway\data\processed\Fw3_2_CycE_WNT-1.tiff
CycE,Fw3,3,CH1,DAPI,y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_CycE_WNT1_EMMPRN_40X8_26Fw3\1_00001_Z003_CH1.tif,y:\coskun-lab\Thomas\Spatial signaling pathway\data\processed\Fw3_3_CycE_DAPI.tiff
CycE,Fw3,3,CH2,Cyclin E,y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_CycE_WNT1_EMMPRN_40X8_26Fw3\1_00001_Z003_CH2.tif,y:\coskun-lab\Thomas\Spatial signaling pathway\data\processed\Fw3_3_CycE_Cyclin E.tiff
CycE,Fw3,3,CH3,EMMPRIN,y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_CycE_WNT1_EMMPRN_40X8_26Fw3\1_00001_Z003_CH3.tif,y:\coskun-lab\Thomas\Spatial signaling pathway\data\processed\Fw3_3_CycE_EMMPRIN.tiff
CycE,Fw3,3,CH4,WNT-1,y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_CycE_WNT1_EMMPRN_40X8_26Fw3\1_00001_Z003_CH4.tif,y:\coskun-lab\Thomas\Spatial signaling pathway\data\processed\Fw3_3_CycE_WNT-1.tiff
CycE,Fw3,4,CH1,DAPI,y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_CycE_WNT1_EMMPRN_40X8_26Fw3\1_00001_Z004_CH1.tif,y:\coskun-lab\Thomas\Spatial signaling pathway\data\processed\Fw3_4_CycE_DAPI.tiff
CycE,Fw3,4,CH2,Cyclin E,y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_CycE_WNT1_EMMPRN_40X8_26Fw3\1_00001_Z004_CH2.tif,y:\coskun-lab\Thomas\Spatial signaling pathway\data\processed\Fw3_4_CycE_Cyclin E.tiff
CycE,Fw3,4,CH3,EMMPRIN,y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_CycE_WNT1_EMMPRN_40X8_26Fw3\1_00001_Z004_CH3.tif,y:\coskun-lab\Thomas\Spatial signaling pathway\data\processed\Fw3_4_CycE_EMMPRIN.tiff
CycE,Fw3,4,CH4,WNT-1,y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_CycE_WNT1_EMMPRN_40X8_26Fw3\1_00001_Z004_CH4.tif,y:\coskun-lab\Thomas\Spatial signaling pathway\data\processed\Fw3_4_CycE_WNT-1.tiff
CycE,Fw3,5,CH1,DAPI,y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_CycE_WNT1_EMMPRN_40X8_26Fw3\1_00001_Z005_CH1.tif,y:\coskun-lab\Thomas\Spatial signaling pathway\data\processed\Fw3_5_CycE_DAPI.tiff
CycE,Fw3,5,CH2,Cyclin E,y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_CycE_WNT1_EMMPRN_40X8_26Fw3\1_00001_Z005_CH2.tif,y:\coskun-lab\Thomas\Spatial signaling pathway\data\processed\Fw3_5_CycE_Cyclin E.tiff
CycE,Fw3,5,CH3,EMMPRIN,y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_CycE_WNT1_EMMPRN_40X8_26Fw3\1_00001_Z005_CH3.tif,y:\coskun-lab\Thomas\Spatial signaling pathway\data\processed\Fw3_5_CycE_EMMPRIN.tiff
CycE,Fw3,5,CH4,WNT-1,y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_CycE_WNT1_EMMPRN_40X8_26Fw3\1_00001_Z005_CH4.tif,y:\coskun-lab\Thomas\Spatial signaling pathway\data\processed\Fw3_5_CycE_WNT-1.tiff
CycE,Fw3,6,CH1,DAPI,y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_CycE_WNT1_EMMPRN_40X8_26Fw3\1_00001_Z006_CH1.tif,y:\coskun-lab\Thomas\Spatial signaling pathway\data\processed\Fw3_6_CycE_DAPI.tiff
CycE,Fw3,6,CH2,Cyclin E,y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_CycE_WNT1_EMMPRN_40X8_26Fw3\1_00001_Z006_CH2.tif,y:\coskun-lab\Thomas\Spatial signaling pathway\data\processed\Fw3_6_CycE_Cyclin E.tiff
CycE,Fw3,6,CH3,EMMPRIN,y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_CycE_WNT1_EMMPRN_40X8_26Fw3\1_00001_Z006_CH3.tif,y:\coskun-lab\Thomas\Spatial signaling pathway\data\processed\Fw3_6_CycE_EMMPRIN.tiff
CycE,Fw3,6,CH4,WNT-1,y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_CycE_WNT1_EMMPRN_40X8_26Fw3\1_00001_Z006_CH4.tif,y:\coskun-lab\Thomas\Spatial signaling pathway\data\processed\Fw3_6_CycE_WNT-1.tiff
DKK1,Fw1,1,CH1,DAPI,y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_DKK1_nonPbeta_40X8_27Fw1\1_00001_Z001_CH1.tif,y:\coskun-lab\Thomas\Spatial signaling pathway\data\processed\Fw1_1_DKK1_DAPI.tiff
DKK1,Fw1,1,CH2,Non-phospho-B-catenin,y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_DKK1_nonPbeta_40X8_27Fw1\1_00001_Z001_CH2.tif,y:\coskun-lab\Thomas\Spatial signaling pathway\data\processed\Fw1_1_DKK1_Non-phospho-B-catenin.tiff
DKK1,Fw1,1,CH4,DKK1,y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_DKK1_nonPbeta_40X8_27Fw1\1_00001_Z001_CH4.tif,y:\coskun-lab\Thomas\Spatial signaling pathway\data\processed\Fw1_1_DKK1_DKK1.tiff
DKK1,Fw1,2,CH1,DAPI,y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_DKK1_nonPbeta_40X8_27Fw1\1_00001_Z002_CH1.tif,y:\coskun-lab\Thomas\Spatial signaling pathway\data\processed\Fw1_2_DKK1_DAPI.tiff
DKK1,Fw1,2,CH2,Non-phospho-B-catenin,y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_DKK1_nonPbeta_40X8_27Fw1\1_00001_Z002_CH2.tif,y:\coskun-lab\Thomas\Spatial signaling pathway\data\processed\Fw1_2_DKK1_Non-phospho-B-catenin.tiff
DKK1,Fw1,2,CH4,DKK1,y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_DKK1_nonPbeta_40X8_27Fw1\1_00001_Z002_CH4.tif,y:\coskun-lab\Thomas\Spatial signaling pathway\data\processed\Fw1_2_DKK1_DKK1.tiff
DKK1,Fw1,3,CH1,DAPI,y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_DKK1_nonPbeta_40X8_27Fw1\1_00001_Z003_CH1.tif,y:\coskun-lab\Thomas\Spatial signaling pathway\data\processed\Fw1_3_DKK1_DAPI.tiff
DKK1,Fw1,3,CH2,Non-phospho-B-catenin,y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_DKK1_nonPbeta_40X8_27Fw1\1_00001_Z003_CH2.tif,y:\coskun-lab\Thomas\Spatial signaling pathway\data\processed\Fw1_3_DKK1_Non-phospho-B-catenin.tiff
DKK1,Fw1,3,CH4,DKK1,y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_DKK1_nonPbeta_40X8_27Fw1\1_00001_Z003_CH4.tif,y:\coskun-lab\Thomas\Spatial signaling pathway\data\processed\Fw1_3_DKK1_DKK1.tiff
DKK1,Fw1,4,CH1,DAPI,y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_DKK1_nonPbeta_40X8_27Fw1\1_00001_Z004_CH1.tif,y:\coskun-lab\Thomas\Spatial signaling pathway\data\processed\Fw1_4_DKK1_DAPI.tiff
DKK1,Fw1,4,CH2,Non-phospho-B-catenin,y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_DKK1_nonPbeta_40X8_27Fw1\1_00001_Z004_CH2.tif,y:\coskun-lab\Thomas\Spatial signaling pathway\data\processed\Fw1_4_DKK1_Non-phospho-B-catenin.tiff
DKK1,Fw1,4,CH4,DKK1,y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_DKK1_nonPbeta_40X8_27Fw1\1_00001_Z004_CH4.tif,y:\coskun-lab\Thomas\Spatial signaling pathway\data\processed\Fw1_4_DKK1_DKK1.tiff
