Cycle,Condition,Z_stack,Channel,Marker,Path,Path_corrected
DKK1,Fw1,5,CH1,DAPI,y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_DKK1_nonPbeta_40X8_27Fw1\1_00001_Z005_CH1.tif,y:\coskun-lab\Thomas\Spatial signaling pathway\data\processed\Fw1_5_DKK1_DAPI.tiff
DKK1,Fw1,5,CH2,Non-phospho-B-catenin,y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_DKK1_nonPbeta_40X8_27Fw1\1_00001_Z005_CH2.tif,y:\coskun-lab\Thomas\Spatial signaling pathway\data\processed\Fw1_5_DKK1_Non-phospho-B-catenin.tiff
DKK1,Fw1,5,CH4,DKK1,y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_DKK1_nonPbeta_40X8_27Fw1\1_00001_Z005_CH4.tif,y:\coskun-lab\Thomas\Spatial signaling pathway\data\processed\Fw1_5_DKK1_DKK1.tiff
DKK1,Fw1,6,CH1,DAPI,y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_DKK1_nonPbeta_40X8_27Fw1\1_00001_Z006_CH1.tif,y:\coskun-lab\Thomas\Spatial signaling pathway\data\processed\Fw1_6_DKK1_DAPI.tiff
DKK1,Fw1,6,CH2,Non-phospho-B-catenin,y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_DKK1_nonPbeta_40X8_27Fw1\1_00001_Z006_CH2.tif,y:\coskun-lab\Thomas\Spatial signaling pathway\data\processed\Fw1_6_DKK1_Non-phospho-B-catenin.tiff
DKK1,Fw1,6,CH4,DKK1,y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_DKK1_nonPbeta_40X8_27Fw1\1_00001_Z006_CH4.tif,y:\coskun-lab\Thomas\Spatial signaling pathway\data\processed\Fw1_6_DKK1_DKK1.tiff
DKK1,Fw2,1,CH1,DAPI,y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_DKK1_nonPbeta_40X8_27Fw2\1_00001_Z001_CH1.tif,y:\coskun-lab\Thomas\Spatial signaling pathway\data\processed\Fw2_1_DKK1_DAPI.tiff
DKK1,Fw2,1,CH2,Non-phospho-B-catenin,y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_DKK1_nonPbeta_40X8_27Fw2\1_00001_Z001_CH2.tif,y:\coskun-lab\Thomas\Spatial signaling pathway\data\processed\Fw2_1_DKK1_Non-phospho-B-catenin.tiff
DKK1,Fw2,1,CH4,DKK1,y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_DKK1_nonPbeta_40X8_27Fw2\1_00001_Z001_CH4.tif,y:\coskun-lab\Thomas\Spatial signaling pathway\data\processed\Fw2_1_DKK1_DKK1.tiff
DKK1,Fw2,2,CH1,DAPI,y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_DKK1_nonPbeta_40X8_27Fw2\1_00001_Z002_CH1.tif,y:\coskun-lab\Thomas\Spatial signaling pathway\data\processed\Fw2_2_DKK1_DAPI.tiff
DKK1,Fw2,2,CH2,Non-phospho-B-catenin,y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_DKK1_nonPbeta_40X8_27Fw2\1_00001_Z002_CH2.tif,y:\coskun-lab\Thomas\Spatial signaling pathway\data\processed\Fw2_2_DKK1_Non-phospho-B-catenin.tiff
DKK1,Fw2,2,CH4,DKK1,y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_DKK1_nonPbeta_40X8_27Fw2\1_00001_Z002_CH4.tif,y:\coskun-lab\Thomas\Spatial signaling pathway\data\processed\Fw2_2_DKK1_DKK1.tiff
DKK1,Fw2,3,CH1,DAPI,y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_DKK1_nonPbeta_40X8_27Fw2\1_00001_Z003_CH1.tif,y:\coskun-lab\Thomas\Spatial signaling pathway\data\processed\Fw2_3_DKK1_DAPI.tiff
DKK1,Fw2,3,CH2,Non-phospho-B-catenin,y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_DKK1_nonPbeta_40X8_27Fw2\1_00001_Z003_CH2.tif,y:\coskun-lab\Thomas\Spatial signaling pathway\data\processed\Fw2_3_DKK1_Non-phospho-B-catenin.tiff
DKK1,Fw2,3,CH4,DKK1,y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_DKK1_nonPbeta_40X8_27Fw2\1_00001_Z003_CH4.tif,y:\coskun-lab\Thomas\Spatial signaling pathway\data\processed\Fw2_3_DKK1_DKK1.tiff
DKK1,Fw2,4,CH1,DAPI,y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_DKK1_nonPbeta_40X8_27Fw2\1_00001_Z004_CH1.tif,y:\coskun-lab\Thomas\Spatial signaling pathway\data\processed\Fw2_4_DKK1_DAPI.tiff
DKK1,Fw2,4,CH2,Non-phospho-B-catenin,y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_DKK1_nonPbeta_40X8_27Fw2\1_00001_Z004_CH2.tif,y:\coskun-lab\Thomas\Spatial signaling pathway\data\processed\Fw2_4_DKK1_Non-phospho-B-catenin.tiff
DKK1,Fw2,4,CH4,DKK1,y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_DKK1_nonPbeta_40X8_27Fw2\1_00001_Z004_CH4.tif,y:\coskun-lab\Thomas\Spatial signaling pathway\data\processed\Fw2_4_DKK1_DKK1.tiff
DKK1,Fw2,5,CH1,DAPI,y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_DKK1_nonPbeta_40X8_27Fw2\1_00001_Z005_CH1.tif,y:\coskun-lab\Thomas\Spatial signaling pathway\data\processed\Fw2_5_DKK1_DAPI.tiff
DKK1,Fw2,5,CH2,Non-phospho-B-catenin,y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_DKK1_nonPbeta_40X8_27Fw2\1_00001_Z005_CH2.tif,y:\coskun-lab\Thomas\Spatial signaling pathway\data\processed\Fw2_5_DKK1_Non-phospho-B-catenin.tiff
DKK1,Fw2,5,CH4,DKK1,y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_DKK1_nonPbeta_40X8_27Fw2\1_00001_Z005_CH4.tif,y:\coskun-lab\Thomas\Spatial signaling pathway\data\processed\Fw2_5_DKK1_DKK1.tiff
DKK1,Fw2,6,CH1,DAPI,y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_DKK1_nonPbeta_40X8_27Fw2\1_00001_Z006_CH1.tif,y:\coskun-lab\Thomas\Spatial signaling pathway\data\processed\Fw2_6_DKK1_DAPI.tiff
DKK1,Fw2,6,CH2,Non-phospho-B-catenin,y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_DKK1_nonPbeta_40X8_27Fw2\1_00001_Z006_CH2.tif,y:\coskun-lab\Thomas\Spatial signaling pathway\data\processed\Fw2_6_DKK1_Non-phospho-B-catenin.tiff
DKK1,Fw2,6,CH4,DKK1,y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_DKK1_nonPbeta_40X8_27Fw2\1_00001_Z006_CH4.tif,y:\coskun-lab\Thomas\Spatial signaling pathway\data\processed\Fw2_6_DKK1_DKK1.tiff
DKK1,Fw2,7,CH1,DAPI,y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_DKK1_nonPbeta_40X8_27Fw2\1_00001_Z007_CH1.tif,y:\coskun-lab\Thomas\Spatial signaling pathway\data\processed\Fw2_7_DKK1_DAPI.tiff
DKK1,Fw2,7,CH2,Non-phospho-B-catenin,y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_DKK1_nonPbeta_40X8_27Fw2\1_00001_Z007_CH2.tif,y:\coskun-lab\Thomas\Spatial signaling pathway\data\processed\Fw2_7_DKK1_Non-phospho-B-catenin.tiff
DKK1,Fw2,7,CH4,DKK1,y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_DKK1_nonPbeta_40X8_27Fw2\1_00001_Z007_CH4.tif,y:\coskun-lab\Thomas\Spatial signaling pathway\data\processed\Fw2_7_DKK1_DKK1.tiff
DKK1,Fw2,8,CH1,DAPI,y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_DKK1_nonPbeta_40X8_27Fw2\1_00001_Z008_CH1.tif,y:\coskun-lab\Thomas\Spatial signaling pathway\data\processed\Fw2_8_DKK1_DAPI.tiff
DKK1,Fw2,8,CH2,Non-phospho-B-catenin,y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_DKK1_nonPbeta_40X8_27Fw2\1_00001_Z008_CH2.tif,y:\coskun-lab\Thomas\Spatial signaling pathway\data\processed\Fw2_8_DKK1_Non-phospho-B-catenin.tiff
DKK1,Fw2,8,CH4,DKK1,y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_DKK1_nonPbeta_40X8_27Fw2\1_00001_Z008_CH4.tif,y:\coskun-lab\Thomas\Spatial signaling pathway\data\processed\Fw2_8_DKK1_DKK1.tiff
DKK1,Fw3,1,CH1,DAPI,y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_DKK1_nonPbeta_40X8_27Fw3\1_00001_Z001_CH1.tif,y:\coskun-lab\Thomas\Spatial signaling pathway\data\processed\Fw3_1_DKK1_DAPI.tiff
DKK1,Fw3,1,CH2,Non-phospho-B-catenin,y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_DKK1_nonPbeta_40X8_27Fw3\1_00001_Z001_CH2.tif,y:\coskun-lab\Thomas\Spatial signaling pathway\data\processed\Fw3_1_DKK1_Non-phospho-B-catenin.tiff
DKK1,Fw3,1,CH4,DKK1,y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_DKK1_nonPbeta_40X8_27Fw3\1_00001_Z001_CH4.tif,y:\coskun-lab\Thomas\Spatial signaling pathway\data\processed\Fw3_1_DKK1_DKK1.tiff
DKK1,Fw3,2,CH1,DAPI,y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_DKK1_nonPbeta_40X8_27Fw3\1_00001_Z002_CH1.tif,y:\coskun-lab\Thomas\Spatial signaling pathway\data\processed\Fw3_2_DKK1_DAPI.tiff
DKK1,Fw3,2,CH2,Non-phospho-B-catenin,y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_DKK1_nonPbeta_40X8_27Fw3\1_00001_Z002_CH2.tif,y:\coskun-lab\Thomas\Spatial signaling pathway\data\processed\Fw3_2_DKK1_Non-phospho-B-catenin.tiff
DKK1,Fw3,2,CH4,DKK1,y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_DKK1_nonPbeta_40X8_27Fw3\1_00001_Z002_CH4.tif,y:\coskun-lab\Thomas\Spatial signaling pathway\data\processed\Fw3_2_DKK1_DKK1.tiff
DKK1,Fw3,3,CH1,DAPI,y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_DKK1_nonPbeta_40X8_27Fw3\1_00001_Z003_CH1.tif,y:\coskun-lab\Thomas\Spatial signaling pathway\data\processed\Fw3_3_DKK1_DAPI.tiff
DKK1,Fw3,3,CH2,Non-phospho-B-catenin,y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_DKK1_nonPbeta_40X8_27Fw3\1_00001_Z003_CH2.tif,y:\coskun-lab\Thomas\Spatial signaling pathway\data\processed\Fw3_3_DKK1_Non-phospho-B-catenin.tiff
DKK1,Fw3,3,CH4,DKK1,y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_DKK1_nonPbeta_40X8_27Fw3\1_00001_Z003_CH4.tif,y:\coskun-lab\Thomas\Spatial signaling pathway\data\processed\Fw3_3_DKK1_DKK1.tiff
DKK1,Fw3,4,CH1,DAPI,y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_DKK1_nonPbeta_40X8_27Fw3\1_00001_Z004_CH1.tif,y:\coskun-lab\Thomas\Spatial signaling pathway\data\processed\Fw3_4_DKK1_DAPI.tiff
DKK1,Fw3,4,CH2,Non-phospho-B-catenin,y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_DKK1_nonPbeta_40X8_27Fw3\1_00001_Z004_CH2.tif,y:\coskun-lab\Thomas\Spatial signaling pathway\data\processed\Fw3_4_DKK1_Non-phospho-B-catenin.tiff
DKK1,Fw3,4,CH4,DKK1,y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_DKK1_nonPbeta_40X8_27Fw3\1_00001_Z004_CH4.tif,y:\coskun-lab\Thomas\Spatial signaling pathway\data\processed\Fw3_4_DKK1_DKK1.tiff
2seg,Fw1,Combined,CH1,DAPI,,y:\coskun-lab\Thomas\Spatial signaling pathway\data\processed\Fw1_Combined_2seg_DAPI.tiff
2seg,Fw1,Combined,CH3,Phalloidin,,y:\coskun-lab\Thomas\Spatial signaling pathway\data\processed\Fw1_Combined_2seg_Phalloidin.tiff
2seg,Fw1,Combined,CH4,WGA,,y:\coskun-lab\Thomas\Spatial signaling pathway\data\processed\Fw1_Combined_2seg_WGA.tiff
Concanavadin A,Fw1,Combined,CH1,DAPI,,y:\coskun-lab\Thomas\Spatial signaling pathway\data\processed\Fw1_Combined_Concanavadin A_DAPI.tiff
Concanavadin A,Fw1,Combined,CH2,Concanavadin A,,y:\coskun-lab\Thomas\Spatial signaling pathway\data\processed\Fw1_Combined_Concanavadin A_Concanavadin A.tiff
CycD1,Fw1,Combined,CH1,DAPI,,y:\coskun-lab\Thomas\Spatial signaling pathway\data\processed\Fw1_Combined_CycD1_DAPI.tiff
CycD1,Fw1,Combined,CH3,APC,,y:\coskun-lab\Thomas\Spatial signaling pathway\data\processed\Fw1_Combined_CycD1_APC.tiff
CycD1,Fw1,Combined,CH4,Cyclin D1,,y:\coskun-lab\Thomas\Spatial signaling pathway\data\processed\Fw1_Combined_CycD1_Cyclin D1.tiff
CycE,Fw1,Combined,CH1,DAPI,,y:\coskun-lab\Thomas\Spatial signaling pathway\data\processed\Fw1_Combined_CycE_DAPI.tiff
CycE,Fw1,Combined,CH2,Cyclin E,,y:\coskun-lab\Thomas\Spatial signaling pathway\data\processed\Fw1_Combined_CycE_Cyclin E.tiff
CycE,Fw1,Combined,CH3,EMMPRIN,,y:\coskun-lab\Thomas\Spatial signaling pathway\data\processed\Fw1_Combined_CycE_EMMPRIN.tiff
CycE,Fw1,Combined,CH4,WNT-1,,y:\coskun-lab\Thomas\Spatial signaling pathway\data\processed\Fw1_Combined_CycE_WNT-1.tiff
DKK1,Fw1,Combined,CH1,DAPI,,y:\coskun-lab\Thomas\Spatial signaling pathway\data\processed\Fw1_Combined_DKK1_DAPI.tiff
DKK1,Fw1,Combined,CH2,Non-phospho-B-catenin,,y:\coskun-lab\Thomas\Spatial signaling pathway\data\processed\Fw1_Combined_DKK1_Non-phospho-B-catenin.tiff
DKK1,Fw1,Combined,CH4,DKK1,,y:\coskun-lab\Thomas\Spatial signaling pathway\data\processed\Fw1_Combined_DKK1_DKK1.tiff
2seg,Fw2,Combined,CH1,DAPI,,y:\coskun-lab\Thomas\Spatial signaling pathway\data\processed\Fw2_Combined_2seg_DAPI.tiff
2seg,Fw2,Combined,CH3,Phalloidin,,y:\coskun-lab\Thomas\Spatial signaling pathway\data\processed\Fw2_Combined_2seg_Phalloidin.tiff
2seg,Fw2,Combined,CH4,WGA,,y:\coskun-lab\Thomas\Spatial signaling pathway\data\processed\Fw2_Combined_2seg_WGA.tiff
Concanavadin A,Fw2,Combined,CH1,DAPI,,y:\coskun-lab\Thomas\Spatial signaling pathway\data\processed\Fw2_Combined_Concanavadin A_DAPI.tiff
Concanavadin A,Fw2,Combined,CH2,Concanavadin A,,y:\coskun-lab\Thomas\Spatial signaling pathway\data\processed\Fw2_Combined_Concanavadin A_Concanavadin A.tiff
CycD1,Fw2,Combined,CH1,DAPI,,y:\coskun-lab\Thomas\Spatial signaling pathway\data\processed\Fw2_Combined_CycD1_DAPI.tiff
CycD1,Fw2,Combined,CH3,APC,,y:\coskun-lab\Thomas\Spatial signaling pathway\data\processed\Fw2_Combined_CycD1_APC.tiff
CycD1,Fw2,Combined,CH4,Cyclin D1,,y:\coskun-lab\Thomas\Spatial signaling pathway\data\processed\Fw2_Combined_CycD1_Cyclin D1.tiff
CycE,Fw2,Combined,CH1,DAPI,,y:\coskun-lab\Thomas\Spatial signaling pathway\data\processed\Fw2_Combined_CycE_DAPI.tiff
CycE,Fw2,Combined,CH2,Cyclin E,,y:\coskun-lab\Thomas\Spatial signaling pathway\data\processed\Fw2_Combined_CycE_Cyclin E.tiff
CycE,Fw2,Combined,CH3,EMMPRIN,,y:\coskun-lab\Thomas\Spatial signaling pathway\data\processed\Fw2_Combined_CycE_EMMPRIN.tiff
CycE,Fw2,Combined,CH4,WNT-1,,y:\coskun-lab\Thomas\Spatial signaling pathway\data\processed\Fw2_Combined_CycE_WNT-1.tiff
DKK1,Fw2,Combined,CH1,DAPI,,y:\coskun-lab\Thomas\Spatial signaling pathway\data\processed\Fw2_Combined_DKK1_DAPI.tiff
DKK1,Fw2,Combined,CH2,Non-phospho-B-catenin,,y:\coskun-lab\Thomas\Spatial signaling pathway\data\processed\Fw2_Combined_DKK1_Non-phospho-B-catenin.tiff
DKK1,Fw2,Combined,CH4,DKK1,,y:\coskun-lab\Thomas\Spatial signaling pathway\data\processed\Fw2_Combined_DKK1_DKK1.tiff
2seg,Fw3,Combined,CH1,DAPI,,y:\coskun-lab\Thomas\Spatial signaling pathway\data\processed\Fw3_Combined_2seg_DAPI.tiff
2seg,Fw3,Combined,CH3,Phalloidin,,y:\coskun-lab\Thomas\Spatial signaling pathway\data\processed\Fw3_Combined_2seg_Phalloidin.tiff
2seg,Fw3,Combined,CH4,WGA,,y:\coskun-lab\Thomas\Spatial signaling pathway\data\processed\Fw3_Combined_2seg_WGA.tiff
Concanavadin A,Fw3,Combined,CH1,DAPI,,y:\coskun-lab\Thomas\Spatial signaling pathway\data\processed\Fw3_Combined_Concanavadin A_DAPI.tiff
Concanavadin A,Fw3,Combined,CH2,Concanavadin A,,y:\coskun-lab\Thomas\Spatial signaling pathway\data\processed\Fw3_Combined_Concanavadin A_Concanavadin A.tiff
CycD1,Fw3,Combined,CH1,DAPI,,y:\coskun-lab\Thomas\Spatial signaling pathway\data\processed\Fw3_Combined_CycD1_DAPI.tiff
CycD1,Fw3,Combined,CH3,APC,,y:\coskun-lab\Thomas\Spatial signaling pathway\data\processed\Fw3_Combined_CycD1_APC.tiff
CycD1,Fw3,Combined,CH4,Cyclin D1,,y:\coskun-lab\Thomas\Spatial signaling pathway\data\processed\Fw3_Combined_CycD1_Cyclin D1.tiff
CycE,Fw3,Combined,CH1,DAPI,,y:\coskun-lab\Thomas\Spatial signaling pathway\data\processed\Fw3_Combined_CycE_DAPI.tiff
CycE,Fw3,Combined,CH2,Cyclin E,,y:\coskun-lab\Thomas\Spatial signaling pathway\data\processed\Fw3_Combined_CycE_Cyclin E.tiff
CycE,Fw3,Combined,CH3,EMMPRIN,,y:\coskun-lab\Thomas\Spatial signaling pathway\data\processed\Fw3_Combined_CycE_EMMPRIN.tiff
CycE,Fw3,Combined,CH4,WNT-1,,y:\coskun-lab\Thomas\Spatial signaling pathway\data\processed\Fw3_Combined_CycE_WNT-1.tiff
DKK1,Fw3,Combined,CH1,DAPI,,y:\coskun-lab\Thomas\Spatial signaling pathway\data\processed\Fw3_Combined_DKK1_DAPI.tiff
DKK1,Fw3,Combined,CH2,Non-phospho-B-catenin,,y:\coskun-lab\Thomas\Spatial signaling pathway\data\processed\Fw3_Combined_DKK1_Non-phospho-B-catenin.tiff
DKK1,Fw3,Combined,CH4,DKK1,,y:\coskun-lab\Thomas\Spatial signaling pathway\data\processed\Fw3_Combined_DKK1_DKK1.tiff
